name,type,group
Cooperative Bank of Negros Oriental,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Nueva Vizcaya,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Palawan,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Quezon Province,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Zambales,Cooperative Banks (Coop. Banks),3
"First Isabela Cooperative Bank, Inc. (Ficobank)",Cooperative Banks (Coop. Banks),3
Ilocos Consolidated Cooperative Bank,Cooperative Banks (Coop. Banks),3
Metro South Cooperative Bank,Cooperative Banks (Coop. Banks),3
Mindanao Consolidated Cooperative Bank,Cooperative Banks (Coop. Banks),3
National Teachers & Employees Cooperative Bank,Cooperative Banks (Coop. Banks),3
Negros Cooperative Bank,Cooperative Banks (Coop. Banks),3
Network Consolidated Cooperative Bank,Cooperative Banks (Coop. Banks),3
Occidental Mindoro Cooperative Bank (OMCB),Cooperative Banks (Coop. Banks),3
Zamboanga Del Norte Cooperative Bank,Cooperative Banks (Coop. Banks),3
Advantage Bank Corp. (A Microfinance-Oriented Rural Bank),Rural Banks (RBs),3
"Agribusiness Rural Bank, Inc.",Rural Banks (RBs),3
"Agricultural Bank of the Philippines, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Aliaga Farmers Rural Bank, Inc.",Rural Banks (RBs),3
"Anilao Bank (Rural Bank of Anilao (Iloilo), Inc.",Rural Banks (RBs),3
"ARDCIBank, Inc., A Rural Bank",Rural Banks (RBs),3
"ASENSO Rural Bank of Bautista, Inc.",Rural Banks (RBs),3
"Aspac Rural Bank, Inc.",Rural Banks (RBs),3
"Aurorabank (A Microfinance-Oriented Rural Bank), Inc.",Rural Banks (RBs),3
"Baclaran Rural Bank, Inc.",Rural Banks (RBs),3
"Balanga Rural Bank, Inc.",Rural Banks (RBs),3
"Baliuag Rural Bank, Inc.",Rural Banks (RBs),3
"Banco Alabang, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Bakun, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco de Arevalo, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco De Calamba, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco de Mindoro, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Laguna, Inc. (A Rural Bank Since 1965)",Rural Banks (RBs),3
"Banco Maximo, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Mexico, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Rural de General Tinio (BRGT), Inc.",Rural Banks (RBs),3
"Banco Rural De Isla Cordova (Cebu), Inc.",Rural Banks (RBs),3
"Banco San Vicente, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Santiago De Libon, Inc.",Rural Banks (RBs),3
"Banco Sual (A Rural Bank), Inc.",Rural Banks (RBs),3
"Bangko Carrascal, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Bangko Kaisa, Inc. (Formerly: Rural Bank of Bugasong (Antique), Inc.)",Rural Banks (RBs),3
"Bangko Mabuhay (A Rural Bank), Inc.",Rural Banks (RBs),3
"Bangko Magsaysay (Isabela), Inc. - A Rural Bank",Rural Banks (RBs),3
"Bangko Montañosa, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Bangko ng Kabuhayan, (A Rural Bank) Inc.",Rural Banks (RBs),3
"Bangko Noveleta, Inc., A Rural Bank",Rural Banks (RBs),3
"Bangko Nuestra Senora Del Pilar, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Bangko Pangasinan - A Rural Bank, Inc.",Rural Banks (RBs),3
Bangko Pasig (Rural Bank),Rural Banks (RBs),3
"Bangko Rural ng San Teodoro, Inc.",Rural Banks (RBs),3
"Bank of Hope, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Bank of Ormoc, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banko Zambaleño Inc., (BZI) (A Rural Bank)",Rural Banks (RBs),3
"Bankways, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Bannawag Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Batangas Rural Bank for Cooperatives, Inc.",Rural Banks (RBs),3
"Baybank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"BDO Network Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Benguet Center Bank, Inc. A Rural Bank",Rural Banks (RBs),3
"BHF Rural Bank, Inc.",Rural Banks (RBs),3
"Biñan Rural Bank, Inc.",Rural Banks (RBs),3
"Binangonan Rural Bank, Inc.",Rural Banks (RBs),3
"BINHI Rural Bank, Inc. (Formerly: Rural Bank of Balingasag (Misamis Oriental), Inc.)",Rural Banks (RBs),3
"BOF, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Bolbok Rural Bank, Inc.",Rural Banks (RBs),3
Bridgeway Rural Banking Corporation,Rural Banks (RBs),3
"Bukidnon Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Butuan City Rural Bank, Inc.",Rural Banks (RBs),3
"Cagsawa Rural Bank, Inc.",Rural Banks (RBs),3
"Camalig Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Camiling Rural Bank, Inc.",Rural Banks (RBs),3
"Cantilan Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Card Bank, Inc. (A Microfinance - Oriented Rural Bank)",Rural Banks (RBs),3
"CARD MRI Rizal Bank, Inc., A Microfinance-Oriented Rural Bank",Rural Banks (RBs),3
"Caritas Banco ng Masa, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Cavite United Rural Bank, Corp.",Rural Banks (RBs),3
"Cebuana Lhuillier Rural Bank, Inc.",Rural Banks (RBs),3
"Century Rural Bank, Inc.",Rural Banks (RBs),3
"Citizen's Rural Bank (Cabiao), Inc.",Rural Banks (RBs),3
"Classic Rural Bank, Inc.",Rural Banks (RBs),3
"Common Wealth Rural Bank, Inc.",Rural Banks (RBs),3
"Community Rural Bank of Catmon (Cebu), Inc.",Rural Banks (RBs),3
"Community Rural Bank of Dapitan City, Incorporated",Rural Banks (RBs),3
"Community Rural Bank of Medellin (Cebu), Inc.",Rural Banks (RBs),3
"Community Rural Bank of Romblon (Romblon), Inc.",Rural Banks (RBs),3
"Community Rural Bank of San Felipe (Zambales), Inc.",Rural Banks (RBs),3
"Community Rural Bank of San Gabriel (La Union), Inc.",Rural Banks (RBs),3
"Cordillera Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Country Builders Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Countryside Rural Bank of Palauig (Zambales), Inc.",Rural Banks (RBs),3
"Crown Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"CSFirst Bank, INC. -A Rural Bank",Rural Banks (RBs),3
"Cuyapo Rural Bank, Inc.",Rural Banks (RBs),3
"D' Asian Hills Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"De La O Rural Bank, Inc.",Rural Banks (RBs),3
"Diamond Rural Bank, Inc.",Rural Banks (RBs),3
"Dumaguete Rural Bank, Inc.",Rural Banks (RBs),3
"Dungganon Bank (A Microfinance Rural Bank), Inc.",Rural Banks (RBs),3
"East West Rural Bank, Inc.",Rural Banks (RBs),3
"Emerald Rural Bank, Inc.",Rural Banks (RBs),3
"Enterprise Capital Bank, Inc. (Taguig Rural Bank)",Rural Banks (RBs),3
"Entrepreneur Rural Bank, Inc.",Rural Banks (RBs),3
Far Eastern Bank (A Rural Bank) Inc.,Rural Banks (RBs),3
"Farm Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"FBC First Bank of Calaca, Inc.",Rural Banks (RBs),3
Filidian Rural Bank of Antipolo Inc.,Rural Banks (RBs),3
"First Agro-Industrial Rural Bank, Inc. (FairBank)",Rural Banks (RBs),3
"First Community Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"First Imperial Business Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"First Integrity Bank, Inc. (Rural Bank of Bailen)",Rural Banks (RBs),3
"First Mindoro Microfinance Rural Bank, Inc.",Rural Banks (RBs),3
"First Naga Rural Bank, Inc.",Rural Banks (RBs),3
"First State Bank, Inc., A Rural Bank",Rural Banks (RBs),3
"First Tagum Rural Bank, Inc.",Rural Banks (RBs),3
"First United Farmers Rural Bank, Inc.",Rural Banks (RBs),3
"Frontier Rural Bank, Inc.",Rural Banks (RBs),3
"Gateway Rural Bank, Inc.",Rural Banks (RBs),3
"GM Bank of Luzon, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Golden Rural Bank of the Philippines, Inc.",Rural Banks (RBs),3
Grand-Agri Rural Bank,Rural Banks (RBs),3
"Guagua Rural Bank, Inc.",Rural Banks (RBs),3
"Guagua Savers Bank (A Rural Bank), Inc.",Rural Banks (RBs),3
Highland Rural Bank Inc.,Rural Banks (RBs),3
"Imus Rural Bank, Inc.",Rural Banks (RBs),3
"Innovative Rural Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Janiuay Rural Bank, Inc.",Rural Banks (RBs),3
"Kaluyagan Rural Bank, Inc.",Rural Banks (RBs),3
Katipunan Bank Inc. A Rural Bank,Rural Banks (RBs),3
"Key Rural Bank, Inc.",Rural Banks (RBs),3
Lagawe Highlands Rural Bank,Rural Banks (RBs),3
"Laguna Prestige Banking Corporation, (A Rural Bank)",Rural Banks (RBs),3
"Liberty Bank (A Rural Bank), Inc.",Rural Banks (RBs),3
LifeBank- A Rural Bank,Rural Banks (RBs),3
"Limcoma Rural Bank, Inc.",Rural Banks (RBs),3
"Lipa Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"LUDB Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Mactan Rural Bank (Lapu-Lapu City), Inc.",Rural Banks (RBs),3
"Maharlika Rural Bank, Inc.",Rural Banks (RBs),3
Makiling Development Bank Corporation,Rural Banks (RBs),3
"Malarayat Rural Bank, Inc.",Rural Banks (RBs),3
"Malaybalay Rural Bank, Inc.",Rural Banks (RBs),3
"Mallig Plains Rural Bank (Isabela), Inc.",Rural Banks (RBs),3
Manor Bank - A Rural Bank Corp.,Rural Banks (RBs),3
"Marayo Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Masagana Rural Bank, (Gen. Natividad, N.E.), Inc.",Rural Banks (RBs),3
"Masantol Rural Bank, Inc.",Rural Banks (RBs),3
"Masuwerte Rural Bank of Bacoor (Cavite), Inc.",Rural Banks (RBs),3
"Mega Rural Bank (Lucena City), Inc.",Rural Banks (RBs),3
"Meycauayan Second Rural Bank, Inc.",Rural Banks (RBs),3
"Misamis Bank, Inc. A Rural Bank",Rural Banks (RBs),3
"Money Mall Rural Bank, Inc.",Rural Banks (RBs),3
"Mount Carmel Rural Bank, Inc.",Rural Banks (RBs),3
"Municipal Rural Bank of Libmanan (Cam. Sur), Inc.",Rural Banks (RBs),3
"Municipal Rural Bank of Nabua (Camarines Sur), Inc.",Rural Banks (RBs),3
MVSM Bank (A Rural Bank Since 1953) Inc.,Rural Banks (RBs),3
"Naawan Community Rural Bank (Misamis Oriental), Inc.",Rural Banks (RBs),3
"New Covenant Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"New Rural Bank of Agoncillo, Inc.",Rural Banks (RBs),3
"New Rural Bank of San Leonardo (Nueva Ecija), Inc.",Rural Banks (RBs),3
North Pacific Banking Corporation (A Rural Bank),Rural Banks (RBs),3
"Occidental Mindoro Rural Bank, Inc.",Rural Banks (RBs),3
"Opportunity Kauswagan Bank, Inc. (A Microfinance Rural Bank)",Rural Banks (RBs),3
"Oriental Tamaraw Rural Bank of Naujan, (Or. Mdo.), Inc.",Rural Banks (RBs),3
"Ormon Bank (Rural Bank of Mulanay (Quezon), Inc.)",Rural Banks (RBs),3
"Own Bank, The Rural Bank of Cavite City, Inc.",Rural Banks (RBs),3
"Palm Tree Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Pangasinan Bank (A Rural Bank), Inc.",Rural Banks (RBs),3
"Panguil Bay Rural Bank of Ozamiz, Inc.",Rural Banks (RBs),3
"Partner Rural Bank (Cotabato), Inc.",Rural Banks (RBs),3
"PBCOM Rural Bank, Inc.",Rural Banks (RBs),3
"People's Bank of Caraga, Inc. (A Rural Bank)",Rural Banks (RBs),3
"People's Rural Bank (Gen. Santos City), Inc.",Rural Banks (RBs),3
"Philippine SME Bank, Inc., A Rural Bank",Rural Banks (RBs),3
"Pioneer Bank (A Rural Bank), Inc.",Rural Banks (RBs),3
"Planbank ""Rural Bank of Canlubang Planters, Inc.""",Rural Banks (RBs),3
ProFarmers Rural Banking Corporation,Rural Banks (RBs),3
"Progressive Bank, Inc. (Progressive A Rural Bank Inc)",Rural Banks (RBs),3
"Progressive Rural Bank, Inc.",Rural Banks (RBs),3
"Providence Rural Bank, Inc.",Rural Banks (RBs),3
"Provident Rural Bank of Sta. Cruz (Laguna), Inc.",Rural Banks (RBs),3
"Queen City Rural Bank, Inc.",Rural Banks (RBs),3
"Quezon Capital Rural Bank, Inc.",Rural Banks (RBs),3
"Racso's Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Rang-Ay Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"RBT Bank, Inc., A Rural Bank",Rural Banks (RBs),3
"RNG Coastal Bank, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Rural Bank of Abucay (Bataan), Inc.",Rural Banks (RBs),3
"Rural Bank of Agoo, Inc.",Rural Banks (RBs),3
"Rural Bank of Alabel (Sarangani), Inc.",Rural Banks (RBs),3
"Rural Bank of Alaminos (Pangasinan), Inc.",Rural Banks (RBs),3
"Rural Bank of Alicia (Isabela), Inc.",Rural Banks (RBs),3
"Rural Bank of Alimodian (Iloilo), Inc.",Rural Banks (RBs),3
"Rural Bank of Alitagtag, Inc.",Rural Banks (RBs),3
"Rural Bank of Altavas (Aklan), Inc.",Rural Banks (RBs),3
"Rural Bank of Amlan (Negros Oriental), Inc.",Rural Banks (RBs),3
"Rural Bank of Anda (Pangasinan), Inc.",Rural Banks (RBs),3
"Rural Bank of Angat (Bulacan), Inc.",Rural Banks (RBs),3
"Rural Bank of Angeles, Inc.",Rural Banks (RBs),3
"Rural Bank of Angono, Inc.",Rural Banks (RBs),3
"Rural Bank of Antipolo, Inc.",Rural Banks (RBs),3
"Rural Bank of Apalit, Inc.",Rural Banks (RBs),3
"Rural Bank of Aritao, Inc.",Rural Banks (RBs),3
"Rural Bank of Atimonan, Inc.",Rural Banks (RBs),3
"Rural Bank of Bacnotan, Inc.",Rural Banks (RBs),3
"Rural Bank of Baco (Oriental Mindoro), Inc.",Rural Banks (RBs),3
"Rural Bank of Bacolod City, Inc.",Rural Banks (RBs),3
"Rural Bank of Bacong (Negros Oriental), Inc.",Rural Banks (RBs),3
"Rural Bank of Bagabag (N.V.), Inc.",Rural Banks (RBs),3
"Rural Bank of Bagac, Bataan, Inc.",Rural Banks (RBs),3
"Rural Bank of Baguio, Inc.",Rural Banks (RBs),3
"Rural Bank of Balungao (Pangasinan), Inc.",Rural Banks (RBs),3
"Rural Bank of Bambang (Nueva Vizcaya), Inc.",Rural Banks (RBs),3
"Rural Bank of Banga (Aklan), Inc.",Rural Banks (RBs),3
"Rural Bank of Bansud (Oriental Mindoro), Inc.",Rural Banks (RBs),3
"Rural Bank of Barili (Cebu), Inc.",Rural Banks (RBs),3
"Rural Bank of Batac, Inc.",Rural Banks (RBs),3
"Rural Bank of Bato (Leyte), Inc.",Rural Banks (RBs),3
"Rural Bank of Bauang, Inc.",Rural Banks (RBs),3
"Rural Bank of Bay, Inc.",Rural Banks (RBs),3
"Rural Bank of Bayambang (Pangasinan), Inc.",Rural Banks (RBs),3
"Rural Bank of Bayombong, Inc.",Rural Banks (RBs),3
"Rural Bank of Bogo (Cebu), Inc.",Rural Banks (RBs),3
"Rural Bank of Bolinao (Pangasinan), Inc.",Rural Banks (RBs),3
"Rural Bank of Bonifacio (Misamis Occidental), Inc.",Rural Banks (RBs),3
"Rural Bank of Bontoc (Mountain Province), Inc.",Rural Banks (RBs),3
"Rural Bank of Brooke'S Point (Palawan), Inc.",Rural Banks (RBs),3
"Rural Bank of Bucay (Abra), Inc.",Rural Banks (RBs),3
"Rural Bank of Cabangan (Zambales), Inc.",Rural Banks (RBs),3
"Rural Bank of Cabatuan (Iloilo), Inc.",Rural Banks (RBs),3
"Rural Bank of Cabugao (Ilocos Sur), Inc.",Rural Banks (RBs),3
"Rural Bank of Cadiz, Inc.",Rural Banks (RBs),3
"Rural Bank of Calauan, Inc.",Rural Banks (RBs),3
"Rural Bank of Calbayog City, Inc.",Rural Banks (RBs),3
"Rural Bank of Calinog (Iloilo), Inc.",Rural Banks (RBs),3
"Rural Bank of Caloocan, Inc.",Rural Banks (RBs),3
"Rural Bank of Candelaria, Inc.",Rural Banks (RBs),3
"Rural Bank of Capalonga (Camarines Norte),Inc.",Rural Banks (RBs),3
"Rural Bank of Cardona (Rizal), Inc.",Rural Banks (RBs),3
"Rural Bank of Casiguran (Aurora), Inc.",Rural Banks (RBs),3
"Rural Bank of Cauayan, Incorporated",Rural Banks (RBs),3
"Rural Bank of Cavinti (Laguna), Inc.",Rural Banks (RBs),3
"Rural Bank of Central Pangasinan (Bayambang), Inc.",Rural Banks (RBs),3
"Rural Bank of Compostela (COMVAL), Inc.",Rural Banks (RBs),3
"Rural Bank of Cuartero (Capiz), Inc.",Rural Banks (RBs),3
"Rural Bank of Cuenca, Inc.",Rural Banks (RBs),3
"Rural Bank of Cuyo (Palawan), Inc.",Rural Banks (RBs),3
"Rural Bank of Datu Paglas, Inc.",Rural Banks (RBs),3
"Rural Bank of Digos, Inc.",Rural Banks (RBs),3
"Rural Bank of Doña Remedios Trinidad (Bulacan), Inc.",Rural Banks (RBs),3
"Rural Bank of Dolores (Quezon), Inc.",Rural Banks (RBs),3
"Rural Bank of Donsol (Sorsogon), Inc.",Rural Banks (RBs),3
"Rural Bank of Dulag (Leyte), Inc.",Rural Banks (RBs),3
"Rural Bank of Dumangas, Inc.",Rural Banks (RBs),3
"Rural Bank of Dupax (Nueva Vizcaya), Inc.",Rural Banks (RBs),3
"Rural Bank of El Salvador (Misamis Oriental), Inc.",Rural Banks (RBs),3
"Rural Bank of Escalante (Negros Occ.), Inc.",Rural Banks (RBs),3
"Rural Bank of Galimuyod (Ilocos Sur), Incorporated",Rural Banks (RBs),3
"Rural Bank of Gandara (Samar), Inc.",Rural Banks (RBs),3
"Rural Bank of Gattaran (Cagayan), Inc.",Rural Banks (RBs),3
"Rural Bank of General Luna (Quezon), Inc.",Rural Banks (RBs),3
"Rural Bank of General Trias, Inc.",Rural Banks (RBs),3
"Rural Bank of Gingoog, Inc.",Rural Banks (RBs),3
"Rural Bank of Gitagum (Misamis Oriental), Inc.",Rural Banks (RBs),3
"Rural Bank of Gloria (Or. Min.), Inc.",Rural Banks (RBs),3
"Rural Bank of Guinobatan, Inc.",Rural Banks (RBs),3
"Rural Bank of Guiuan (Eastern Samar), Inc.",Rural Banks (RBs),3
"Rural Bank of Hermosa (Bataan), Inc.",Rural Banks (RBs),3
"Rural Bank of Hilongos,Inc.",Rural Banks (RBs),3
"Rural Bank of Hindang (Leyte), Inc.",Rural Banks (RBs),3
